filename,psnr_mse,psnr_vgg,psnr_resnet
AnhHungNguyenTrungTruc_Ep01_2012_00007.jpg,33.50654009924068,28.360641909560513,33.18732412988323
AnhHungNguyenTrungTruc_Ep01_2012_00009.jpg,25.500328823367838,24.16791154986978,26.308888732098893
AnhHungNguyenTrungTruc_Ep01_2012_00010.jpg,23.7001540679505,22.377960739352215,23.36369182034707
AnhHungNguyenTrungTruc_Ep01_2012_00019.jpg,29.839040231002087,29.758298168126114,29.958594389064878
AnhHungNguyenTrungTruc_Ep01_2012_00029.jpg,30.51633499075702,30.894060512908222,28.10382438438737
AnhHungNguyenTrungTruc_Ep01_2012_00034.jpg,31.130210827590545,30.688424848323343,31.960118828043274
AnhHungNguyenTrungTruc_Ep01_2012_00039.jpg,30.986988276270893,30.9529008024112,30.672044781212847
AnhHungNguyenTrungTruc_Ep01_2012_00057.jpg,29.986809943091206,27.765646690010115,28.332448734838795
AnhHungNguyenTrungTruc_Ep01_2012_00058.jpg,31.344788590160746,31.347452662572625,30.885460486726657
AnhHungNguyenTrungTruc_Ep01_2012_00098.jpg,25.425829165194656,24.78570606866914,24.35167144221115
AnhHungNguyenTrungTruc_Ep01_2012_00100.jpg,28.488565317010853,28.708498957171557,29.53109539187098
AnhHungNguyenTrungTruc_Ep01_2012_00134.jpg,27.898688420819163,27.19606490365909,28.9424395758655
AnhHungNguyenTrungTruc_Ep01_2012_00140.jpg,31.518965883320142,30.909820714207605,30.810998535960444
AnhHungNguyenTrungTruc_Ep01_2012_00170.jpg,28.777507784113862,29.490623432299245,28.50311367009235
AnhHungNguyenTrungTruc_Ep01_2012_00172.jpg,29.20284643363372,29.76124320946301,28.835791655179133
AnhHungNguyenTrungTruc_Ep01_2012_00182.jpg,32.673693317343904,32.06554562774183,31.71245586293418
AnhHungNguyenTrungTruc_Ep01_2012_00190.jpg,32.15219150796199,31.96190156889285,31.433357757836873
AnhHungNguyenTrungTruc_Ep01_2012_00218.jpg,31.11195607682388,31.862088114087577,31.190439361099507
AnhHungNguyenTrungTruc_Ep01_2012_00230.jpg,24.481141536299017,24.06578956195112,24.47748375700652
AnhHungNguyenTrungTruc_Ep01_2012_00232.jpg,24.33893782619731,24.51891854082315,24.107783940905584
AnhHungNguyenTrungTruc_Ep01_2012_00270.jpg,29.67513203111498,29.738592463473235,29.7474039857318
AnhHungNguyenTrungTruc_Ep01_2012_00285.jpg,25.744898744720892,25.611958337966335,24.965534563740487
AnhHungNguyenTrungTruc_Ep01_2012_00289.jpg,25.4634297751382,24.51594266568812,24.30026361452569
AnhHungNguyenTrungTruc_Ep01_2012_00301.jpg,31.983709717002426,29.641608333144163,32.107664792437134
AnhHungNguyenTrungTruc_Ep01_2012_00312.jpg,24.989260658464573,24.958761073299858,25.04315309783722
