filename,ssim_mse,ssim_vgg,ssim_resnet
AnhHungNguyenTrungTruc_Ep01_2012_00007.jpg,0.8732891997461638,0.8311458013490626,0.883543957002634
AnhHungNguyenTrungTruc_Ep01_2012_00009.jpg,0.8356097744465408,0.8619249887049129,0.8413563175340859
AnhHungNguyenTrungTruc_Ep01_2012_00010.jpg,0.9547625778693279,0.9624660535565045,0.9490699613903483
AnhHungNguyenTrungTruc_Ep01_2012_00019.jpg,0.987289728182089,0.9870957591490752,0.9863271080713506
AnhHungNguyenTrungTruc_Ep01_2012_00029.jpg,0.9759818176945397,0.9776860786553327,0.9724931636814852
AnhHungNguyenTrungTruc_Ep01_2012_00034.jpg,0.9043566142867445,0.8973825566649428,0.9066713991467048
AnhHungNguyenTrungTruc_Ep01_2012_00039.jpg,0.9119336265236718,0.9139568406467177,0.9175377867018245
AnhHungNguyenTrungTruc_Ep01_2012_00057.jpg,0.9643679673995035,0.9582975305697463,0.9584151240489648
AnhHungNguyenTrungTruc_Ep01_2012_00058.jpg,0.9897734917074791,0.9898120375705998,0.9876638280214807
AnhHungNguyenTrungTruc_Ep01_2012_00098.jpg,0.9545760713861343,0.9618953878886275,0.9476617303147993
AnhHungNguyenTrungTruc_Ep01_2012_00100.jpg,0.9793678039024227,0.9804660411208849,0.9800930435683514
AnhHungNguyenTrungTruc_Ep01_2012_00134.jpg,0.9570317727299614,0.9507821731150826,0.9583012937447087
AnhHungNguyenTrungTruc_Ep01_2012_00140.jpg,0.9857334734358861,0.9851188003524077,0.9833799795503834
AnhHungNguyenTrungTruc_Ep01_2012_00170.jpg,0.9821095428571116,0.9825654077549477,0.9822572437859315
AnhHungNguyenTrungTruc_Ep01_2012_00172.jpg,0.9830294568692647,0.9827981217843886,0.9817694761868312
AnhHungNguyenTrungTruc_Ep01_2012_00182.jpg,0.9842116262685101,0.982991812110642,0.9803544346631631
AnhHungNguyenTrungTruc_Ep01_2012_00190.jpg,0.9819600983426612,0.9816560863328648,0.9788436060881298
AnhHungNguyenTrungTruc_Ep01_2012_00218.jpg,0.9805102575975525,0.9820702762221503,0.9794102430561882
