filename,mae_mse,mae_vgg,mae_resnet
AnhHungNguyenTrungTruc_Ep01_2012_00802.jpg,6.491158,6.098128,6.845524
AnhHungNguyenTrungTruc_Ep01_2012_00809.jpg,5.772853,6.7379026,6.3280983
AnhHungNguyenTrungTruc_Ep01_2012_00815.jpg,4.9736395,6.966013,6.332782
AnhHungNguyenTrungTruc_Ep01_2012_00827.jpg,6.7210484,7.598241,6.978994
AnhHungNguyenTrungTruc_Ep01_2012_00828.jpg,4.6249533,6.4213037,5.5475526
AnhHungNguyenTrungTruc_Ep01_2012_00837.jpg,7.5908403,7.1916323,5.9853983
AnhHungNguyenTrungTruc_Ep01_2012_00868.jpg,6.0889535,7.1251726,6.759274
AnhHungNguyenTrungTruc_Ep01_2012_00878.jpg,5.992493,6.367221,5.083347
AnhHungNguyenTrungTruc_Ep01_2012_00879.jpg,5.614663,6.2677045,5.32113
AnhHungNguyenTrungTruc_Ep01_2012_00934.jpg,6.518017,7.111142,7.2817945
AnhHungNguyenTrungTruc_Ep01_2012_00935.jpg,6.6317296,7.0137053,6.9004374
AnhHungNguyenTrungTruc_Ep01_2012_00945.jpg,9.901201,11.205716,8.185666
AnhHungNguyenTrungTruc_Ep01_2012_00949.jpg,9.147607,8.218365,9.138041
AnhHungNguyenTrungTruc_Ep01_2012_00961.jpg,3.5522096,2.9126275,3.545885
AnhHungNguyenTrungTruc_Ep01_2012_00976.jpg,3.6747715,3.6356626,5.636307
AnhHungNguyenTrungTruc_Ep01_2012_00989.jpg,5.1402993,4.8161736,4.6240435
AnhHungNguyenTrungTruc_Ep01_2012_00991.jpg,5.7258253,6.2946362,5.575315
AnhHungNguyenTrungTruc_Ep01_2012_01034.jpg,4.492008,4.4888725,4.836389
AnhHungNguyenTrungTruc_Ep01_2012_01053.jpg,5.2695713,5.115859,5.481771
AnhHungNguyenTrungTruc_Ep01_2012_01063.jpg,5.192064,4.9320793,4.640492
AnhHungNguyenTrungTruc_Ep01_2012_01068.jpg,2.8910434,3.1573594,2.8780494
AnhHungNguyenTrungTruc_Ep01_2012_01075.jpg,4.902271,5.344394,5.8655534
AnhHungNguyenTrungTruc_Ep01_2012_01101.jpg,5.8309484,5.4245853,6.182617
AnhHungNguyenTrungTruc_Ep01_2012_01128.jpg,7.2301297,7.0690503,7.113906
AnhHungNguyenTrungTruc_Ep01_2012_01131.jpg,6.6076674,6.982289,6.174167
AnhHungNguyenTrungTruc_Ep01_2012_01149.jpg,5.282871,5.2333784,5.003129
AnhHungNguyenTrungTruc_Ep01_2012_01155.jpg,3.694449,3.717335,3.620828
AnhHungNguyenTrungTruc_Ep01_2012_01172.jpg,3.4175768,3.6268203,3.6168885
AnhHungNguyenTrungTruc_Ep01_2012_01194.jpg,3.0770223,3.2585168,2.898783
AnhHungNguyenTrungTruc_Ep01_2012_01214.jpg,3.7633796,3.5369766,3.906768
AnhHungNguyenTrungTruc_Ep01_2012_01226.jpg,6.105509,6.1132283,6.0895114
AnhHungNguyenTrungTruc_Ep01_2012_01236.jpg,2.6524434,2.424705,2.643867
AnhHungNguyenTrungTruc_Ep01_2012_01255.jpg,2.6082723,2.8299918,2.6940038
AnhHungNguyenTrungTruc_Ep01_2012_01257.jpg,3.6690915,3.7994194,3.4791534
AnhHungNguyenTrungTruc_Ep01_2012_01261.jpg,5.707184,5.012742,6.1239305
AnhHungNguyenTrungTruc_Ep01_2012_01274.jpg,11.242866,9.110219,10.960174
AnhHungNguyenTrungTruc_Ep01_2012_01281.jpg,4.4958677,4.1128426,4.594049
AnhHungNguyenTrungTruc_Ep01_2012_01296.jpg,3.8226643,4.6117067,4.480369
